,user id,movie id,rate,timestamp,datetime,age ,gender,occupation,zip code,movie title,release date,IMDb URL,other,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
22458,38,84,5,892430937,1998-04-13 01:28:57,28,F,other,54467,Robert A. Heinlein's The Puppet Masters (1994),1994-01-01,http://us.imdb.com/M/title-exact?Robert%20A.%20Heinlein's%20The%20Puppet%20Masters%20(1994),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19173,106,956,3,881453290,1997-12-07 00:08:10,61,M,retired,55125,Nobody's Fool (1994),1994-01-01,http://us.imdb.com/M/title-exact?Nobody's%20Fool%20(1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53910,807,399,4,893080801,1998-04-20 14:00:01,41,F,healthcare,93555,"Three Musketeers, The (1993)",1993-01-01,"http://us.imdb.com/M/title-exact?Three%20Musketeers,%20The%20(1993)",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32776,438,255,4,879868242,1997-11-18 15:50:42,51,F,administrator,43204,My Best Friend's Wedding (1997),1997-06-20,http://us.imdb.com/M/title-exact?My+Best+Friend%27s+Wedding+(1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24572,16,941,1,877720437,1997-10-24 19:13:57,21,M,entertainment,10309,With Honors (1994),1994-01-01,http://us.imdb.com/M/title-exact?With%20Honors%20(1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10762,117,1016,5,881008815,1997-12-01 20:40:15,20,M,student,16125,Con Air (1997),1997-06-06,http://us.imdb.com/M/title-exact?Con%20Air%20%281997%29,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57690,342,1057,2,875318783,1997-09-27 00:06:23,25,F,other,98006,"Pallbearer, The (1996)",1996-04-19,"http://us.imdb.com/M/title-exact?Pallbearer,%20The%20(1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24191,425,257,3,878738992,1997-11-05 14:09:52,19,M,student,58644,Men in Black (1997),1997-07-04,http://us.imdb.com/M/title-exact?Men+in+Black+(1997),0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
15225,45,21,3,881014193,1997-12-01 22:09:53,29,M,programmer,50233,Muppet Treasure Island (1996),1996-02-16,http://us.imdb.com/M/title-exact?Muppet%20Treasure%20Island%20(1996),0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
66132,781,258,2,879633862,1997-11-15 22:44:22,20,M,student,48825,Contact (1997),1997-07-11,http://us.imdb.com/Title?Contact+(1997/I),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
68136,485,301,2,891041551,1998-03-27 23:32:31,44,F,educator,95821,In & Out (1997),1997-09-19,http://us.imdb.com/Title?In+%26+Out+(1997),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23799,92,742,3,886443192,1998-02-02 18:13:12,32,M,entertainment,80525,Ransom (1996),1996-11-08,http://us.imdb.com/M/title-exact?Ransom%20(1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
14836,405,1531,1,885549094,1998-01-23 09:51:34,22,F,healthcare,10019,Far From Home: The Adventures of Yellow Dog (1995),1995-01-01,http://us.imdb.com/M/title-exact?Far%20From%20Home:%20The%20Adventures%20of%20Yellow%20Dog%20(1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48146,552,25,3,879221833,1997-11-11 04:17:13,45,M,other,68147,"Birdcage, The (1996)",1996-03-08,"http://us.imdb.com/M/title-exact?Birdcage,%20The%20(1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12440,383,474,5,891193072,1998-03-29 17:37:52,42,M,administrator,75204,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),1963-01-01,http://us.imdb.com/M/title-exact?Dr.%20Strangelove%20or:%20How%20I%20Learned%20to%20Stop%20Worrying%20and%20Love%20the%20Bomb%20(1963),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
65087,798,1183,1,875915190,1997-10-03 21:46:30,40,F,writer,64131,"Cowboy Way, The (1994)",1994-01-01,"http://us.imdb.com/M/title-exact?Cowboy%20Way,%20The%20(1994)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40410,218,591,3,881288574,1997-12-05 02:22:54,37,M,administrator,06513,Primal Fear (1996),1996-03-30,http://us.imdb.com/M/title-exact?Primal%20Fear%20(1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
99352,932,431,3,891250944,1998-03-30 09:42:24,58,M,educator,06437,Highlander (1986),1986-01-01,http://us.imdb.com/M/title-exact?Highlander%20(1986),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92971,586,431,3,884061343,1998-01-06 04:35:43,20,M,student,79508,Highlander (1986),1986-01-01,http://us.imdb.com/M/title-exact?Highlander%20(1986),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32213,349,121,2,879465712,1997-11-14 00:01:52,68,M,retired,61455,Independence Day (ID4) (1996),1996-07-03,http://us.imdb.com/M/title-exact?Independence%20Day%20(1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
21982,406,787,3,880132047,1997-11-21 17:07:27,52,M,educator,93109,Roommates (1995),1995-01-01,http://us.imdb.com/M/title-exact?Roommates%20(1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
